Ex:-4.41565e-05	Ey:1.92027e-06	E:4.41982e-05
Ex:-4.27523e-05	Ey:1.35921e-06	E:4.27739e-05
Ex:-4.13785e-05	Ey:8.01806e-07	E:4.13862e-05
Ex:-4.00343e-05	Ey:2.47429e-07	E:4.0035e-05
Ex:-3.87192e-05	Ey:-3.04569e-07	E:3.87204e-05
Ex:-3.74328e-05	Ey:-8.54831e-07	E:3.74426e-05
Ex:-3.61747e-05	Ey:-1.404e-06	E:3.62019e-05
Ex:-3.49446e-05	Ey:-1.95274e-06	E:3.49991e-05
Ex:-3.37423e-05	Ey:-2.50168e-06	E:3.38349e-05
Ex:-3.25678e-05	Ey:-3.05148e-06	E:3.27105e-05
Ex:-3.14212e-05	Ey:-3.60276e-06	E:3.16271e-05
Ex:-3.03026e-05	Ey:-4.15616e-06	E:3.05863e-05
Ex:-2.92123e-05	Ey:-4.71228e-06	E:2.959e-05
Ex:-2.81508e-05	Ey:-5.2717e-06	E:2.86402e-05
Ex:-2.71187e-05	Ey:-5.83494e-06	E:2.77393e-05
Ex:-2.61166e-05	Ey:-6.4025e-06	E:2.68899e-05
Ex:-2.51453e-05	Ey:-6.97478e-06	E:2.60948e-05
Ex:-2.4206e-05	Ey:-7.55212e-06	E:2.53567e-05
Ex:-2.32994e-05	Ey:-8.13474e-06	E:2.46787e-05
Ex:-2.24269e-05	Ey:-8.72274e-06	E:2.40635e-05
Ex:-2.15895e-05	Ey:-9.31607e-06	E:2.35137e-05
Ex:-2.07882e-05	Ey:-9.91457e-06	E:2.30315e-05
Ex:-2.00242e-05	Ey:-1.05179e-05	E:2.26184e-05
Ex:-1.92982e-05	Ey:-1.11255e-05	E:2.22755e-05
Ex:-1.86109e-05	Ey:-1.17368e-05	E:2.20027e-05
Ex:-1.79627e-05	Ey:-1.2351e-05	E:2.17992e-05
Ex:-1.73537e-05	Ey:-1.29672e-05	E:2.16633e-05
Ex:-1.67835e-05	Ey:-1.35845e-05	E:2.15923e-05
Ex:-1.62516e-05	Ey:-1.4202e-05	E:2.15827e-05
Ex:-1.5757e-05	Ey:-1.48187e-05	E:2.16305e-05
Ex:-1.52984e-05	Ey:-1.54338e-05	E:2.17311e-05
Ex:-1.48743e-05	Ey:-1.60463e-05	E:2.18798e-05
Ex:-1.44829e-05	Ey:-1.66555e-05	E:2.20717e-05
Ex:-1.41225e-05	Ey:-1.72607e-05	E:2.23019e-05
Ex:-1.3791e-05	Ey:-1.78614e-05	E:2.2566e-05
Ex:-1.34865e-05	Ey:-1.84572e-05	E:2.28594e-05
Ex:-1.3207e-05	Ey:-1.90475e-05	E:2.31783e-05
Ex:-1.29506e-05	Ey:-1.96322e-05	E:2.3519e-05
Ex:-1.27154e-05	Ey:-2.02109e-05	E:2.38781e-05
Ex:-1.24997e-05	Ey:-2.07835e-05	E:2.42528e-05
Ex:-1.23017e-05	Ey:-2.13499e-05	E:2.46404e-05
Ex:-1.21199e-05	Ey:-2.19099e-05	E:2.50386e-05
Ex:-1.19528e-05	Ey:-2.24635e-05	E:2.54456e-05
Ex:-1.1799e-05	Ey:-2.30106e-05	E:2.58593e-05
Ex:-1.16574e-05	Ey:-2.35513e-05	E:2.62785e-05
Ex:-1.15267e-05	Ey:-2.40855e-05	E:2.67017e-05
Ex:-1.14059e-05	Ey:-2.46133e-05	E:2.71277e-05
Ex:-1.12939e-05	Ey:-2.51347e-05	E:2.75555e-05
Ex:-1.11899e-05	Ey:-2.56497e-05	E:2.79843e-05
Ex:-1.10931e-05	Ey:-2.61583e-05	E:2.84133e-05
Ex:-1.10027e-05	Ey:-2.66607e-05	E:2.88418e-05
Ex:-1.09179e-05	Ey:-2.71568e-05	E:2.92693e-05
Ex:-1.08383e-05	Ey:-2.76466e-05	E:2.96952e-05
Ex:-1.0763e-05	Ey:-2.81303e-05	E:3.0119e-05
Ex:-1.06917e-05	Ey:-2.86079e-05	E:3.05405e-05
Ex:-1.06238e-05	Ey:-2.90794e-05	E:3.09593e-05
Ex:-1.05589e-05	Ey:-2.95449e-05	E:3.1375e-05
Ex:-1.04965e-05	Ey:-3.00044e-05	E:3.17875e-05
Ex:-1.04363e-05	Ey:-3.04581e-05	E:3.21964e-05
Ex:-1.03779e-05	Ey:-3.09059e-05	E:3.26017e-05
Ex:-1.0321e-05	Ey:-3.13478e-05	E:3.30032e-05
Ex:-1.02652e-05	Ey:-3.17841e-05	E:3.34006e-05
Ex:-1.02103e-05	Ey:-3.22147e-05	E:3.3794e-05
Ex:-1.0156e-05	Ey:-3.26396e-05	E:3.41831e-05
Ex:-1.01021e-05	Ey:-3.3059e-05	E:3.4568e-05
Ex:-1.00484e-05	Ey:-3.34728e-05	E:3.49485e-05
Ex:-9.99459e-06	Ey:-3.38812e-05	E:3.53246e-05
Ex:-9.94056e-06	Ey:-3.42843e-05	E:3.56963e-05
Ex:-9.88613e-06	Ey:-3.4682e-05	E:3.60635e-05
Ex:-9.83111e-06	Ey:-3.50744e-05	E:3.64262e-05
Ex:-9.77535e-06	Ey:-3.54617e-05	E:3.67844e-05
Ex:-9.71872e-06	Ey:-3.58438e-05	E:3.7138e-05
Ex:-9.66107e-06	Ey:-3.62209e-05	E:3.74872e-05
Ex:-9.60229e-06	Ey:-3.6593e-05	E:3.78319e-05
Ex:-9.54227e-06	Ey:-3.69602e-05	E:3.81722e-05
Ex:-9.48088e-06	Ey:-3.73226e-05	E:3.8508e-05
Ex:-9.41804e-06	Ey:-3.76802e-05	E:3.88394e-05
Ex:-9.35365e-06	Ey:-3.80331e-05	E:3.91664e-05
Ex:-9.28763e-06	Ey:-3.83814e-05	E:3.94892e-05
Ex:-9.21988e-06	Ey:-3.87252e-05	E:3.98077e-05
Ex:-9.15035e-06	Ey:-3.90646e-05	E:4.01219e-05
Ex:-9.07895e-06	Ey:-3.93996e-05	E:4.04321e-05
Ex:-9.00562e-06	Ey:-3.97303e-05	E:4.07381e-05
Ex:-8.9303e-06	Ey:-4.00568e-05	E:4.10402e-05
Ex:-8.85293e-06	Ey:-4.03792e-05	E:4.13383e-05
Ex:-8.77345e-06	Ey:-4.06976e-05	E:4.16326e-05
Ex:-8.69182e-06	Ey:-4.10121e-05	E:4.1923e-05
Ex:-8.60798e-06	Ey:-4.13228e-05	E:4.22098e-05
Ex:-8.52189e-06	Ey:-4.16297e-05	E:4.2493e-05
Ex:-8.43351e-06	Ey:-4.19329e-05	E:4.27726e-05
Ex:-8.3428e-06	Ey:-4.22327e-05	E:4.30488e-05
Ex:-8.24971e-06	Ey:-4.25289e-05	E:4.33217e-05
Ex:-8.15422e-06	Ey:-4.28219e-05	E:4.35913e-05
Ex:-8.05629e-06	Ey:-4.31115e-05	E:4.38578e-05
Ex:-7.95588e-06	Ey:-4.3398e-05	E:4.41213e-05
Ex:-7.85297e-06	Ey:-4.36815e-05	E:4.43818e-05
Ex:-7.74752e-06	Ey:-4.3962e-05	E:4.46395e-05
Ex:-7.63951e-06	Ey:-4.42397e-05	E:4.48945e-05
Ex:-7.52891e-06	Ey:-4.45146e-05	E:4.51468e-05
Ex:-7.41569e-06	Ey:-4.47869e-05	E:4.53967e-05
Ex:-7.29983e-06	Ey:-4.50567e-05	E:4.56442e-05
Ex:-7.1813e-06	Ey:-4.53241e-05	E:4.58895e-05
Ex:-7.06007e-06	Ey:-4.55891e-05	E:4.61326e-05
Ex:-6.93613e-06	Ey:-4.5852e-05	E:4.63737e-05
Ex:-6.80946e-06	Ey:-4.61128e-05	E:4.66128e-05
Ex:-6.68001e-06	Ey:-4.63716e-05	E:4.68502e-05
Ex:-6.54779e-06	Ey:-4.66285e-05	E:4.7086e-05
Ex:-6.41275e-06	Ey:-4.68837e-05	E:4.73202e-05
Ex:-6.27489e-06	Ey:-4.71372e-05	E:4.75531e-05
Ex:-6.13417e-06	Ey:-4.73893e-05	E:4.77846e-05
Ex:-5.99057e-06	Ey:-4.76399e-05	E:4.80151e-05
Ex:-5.84408e-06	Ey:-4.78893e-05	E:4.82445e-05
Ex:-5.69467e-06	Ey:-4.81374e-05	E:4.84731e-05
Ex:-5.5423e-06	Ey:-4.83846e-05	E:4.8701e-05
Ex:-5.38697e-06	Ey:-4.86308e-05	E:4.89282e-05
Ex:-5.22865e-06	Ey:-4.88762e-05	E:4.9155e-05
Ex:-5.0673e-06	Ey:-4.91209e-05	E:4.93815e-05
Ex:-4.90291e-06	Ey:-4.9365e-05	E:4.96079e-05
Ex:-4.73546e-06	Ey:-4.96087e-05	E:4.98342e-05
Ex:-4.5649e-06	Ey:-4.98521e-05	E:5.00606e-05
Ex:-4.39121e-06	Ey:-5.00953e-05	E:5.02874e-05
Ex:-4.21438e-06	Ey:-5.03384e-05	E:5.05145e-05
Ex:-4.03436e-06	Ey:-5.05816e-05	E:5.07422e-05
Ex:-3.85112e-06	Ey:-5.08249e-05	E:5.09706e-05
Ex:-3.66464e-06	Ey:-5.10686e-05	E:5.11999e-05
Ex:-3.47488e-06	Ey:-5.13127e-05	E:5.14302e-05
Ex:-3.28181e-06	Ey:-5.15574e-05	E:5.16617e-05
Ex:-3.08538e-06	Ey:-5.18028e-05	E:5.18946e-05
Ex:-2.88558e-06	Ey:-5.2049e-05	E:5.2129e-05
Ex:-2.68235e-06	Ey:-5.22963e-05	E:5.2365e-05
Ex:-2.47566e-06	Ey:-5.25446e-05	E:5.26029e-05
Ex:-2.26548e-06	Ey:-5.27941e-05	E:5.28427e-05
Ex:-2.05174e-06	Ey:-5.30451e-05	E:5.30848e-05
Ex:-1.83442e-06	Ey:-5.32976e-05	E:5.33291e-05
Ex:-1.61347e-06	Ey:-5.35517e-05	E:5.3576e-05
Ex:-1.38883e-06	Ey:-5.38076e-05	E:5.38256e-05
Ex:-1.16047e-06	Ey:-5.40655e-05	E:5.4078e-05
